rank,gid,role,priority_score,why,cluster_id,is_seed
1,100000000331309100,coordinator,0.8619,"Координатор, кандидат в организаторы. Собирает от 5 плательщиков 984 635 ₸ и рассылает 99 получателям 23,00 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 23,99 млн ₸; мост между частями сети (посредничество выше, чем у 99% узлов); 3 плательщика в один день, возвратные потоки, повторяющийся маршрут.",7,False
2,100000000437046100,coordinator,0.8604,"Координатор, кандидат в организаторы. Собирает от 9 плательщиков 1,11 млн ₸ и рассылает 42 получателям 7,61 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 8,71 млн ₸; мост между частями сети (посредничество выше, чем у 97% узлов); сквозной транзит за 2 дня, 3 плательщика в один день, возвратные потоки…",2,False
3,100000008603629100,coordinator,0.8582,"Координатор, кандидат в организаторы. Собирает от 19 плательщиков 1,82 млн ₸ и рассылает 61 получателю 4,99 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 6,80 млн ₸; мост между частями сети (посредничество выше, чем у 99% узлов); сквозной транзит за 2 дня, 4 плательщика в один день, возвратные потоки…",6,False
4,100000008547948100,coordinator,0.8335,"Координатор, кандидат в организаторы. Собирает от 6 плательщиков 212 665 ₸ и рассылает 26 получателям 5,19 млн ₸; сюда ведут пути от 8 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: сюда ведут пути от 8 seed; оборот 5,40 млн ₸; мост между частями сети (посредничество выше, чем у 94% узлов); 4 плательщика в один день, возвратные потоки…",5,False
5,100000004400305100,coordinator,0.8288,"Координатор, кандидат в организаторы. Собирает от 7 плательщиков 222 800 ₸ и рассылает 82 получателям 5,83 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 6,05 млн ₸; мост между частями сети (посредничество выше, чем у 98% узлов); сквозной транзит за 2 дня, возвратные потоки, повторяющийся маршрут.",2,False
6,100000008165763100,coordinator,0.8205,"Координатор, кандидат в организаторы. Собирает от 15 плательщиков 1,17 млн ₸ и рассылает 17 получателям 1,27 млн ₸; сюда ведут пути от 9 seed. Признаки координации. Почему в топе: сюда ведут пути от 9 seed; оборот 2,43 млн ₸; сквозной транзит за 2 дня, 4 плательщика в один день, повторяющийся маршрут.",3,False
7,100000008477350100,coordinator,0.8187,"Координатор, кандидат в организаторы. Собирает от 11 плательщиков 610 100 ₸ и рассылает 39 получателям 3,37 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 3,98 млн ₸; мост между частями сети (посредничество выше, чем у 98% узлов); сквозной транзит за 2 дня, возвратные потоки, повторяющийся маршрут.",2,False
8,100000001857829100,coordinator,0.8114,"Координатор, кандидат в организаторы. Собирает от 6 плательщиков 888 535 ₸ и рассылает 16 получателям 2,39 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 3,28 млн ₸; мост между частями сети (посредничество выше, чем у 96% узлов); сквозной транзит за 2 дня, 3 плательщика в один день, возвратные потоки.",6,False
9,100000004156082100,coordinator,0.8079,"Координатор, кандидат в организаторы. Собирает от 5 плательщиков 377 366 ₸ и рассылает 26 получателям 2,32 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 2,70 млн ₸; мост между частями сети (посредничество выше, чем у 97% узлов); сквозной транзит за 2 дня, возвратные потоки, повторяющийся маршрут.",15,False
10,100000008686313100,coordinator,0.803,"Координатор, кандидат в организаторы. Собирает от 6 плательщиков 1,91 млн ₸ и рассылает 7 получателям 333 800 ₸; сюда ведут пути от 7 seed. Признаки координации. Почему в топе: оборот 2,25 млн ₸; мост между частями сети (посредничество выше, чем у 96% узлов); сквозной транзит за 2 дня, возвратные потоки, повторяющийся маршрут.",2,False
