gid,role,role_score,cluster_id,priority_score,evidence,role_label,rank,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,seed_payers,seeds_upstream,from_consolidators,betweenness,fast_out_share,max_payers_same_day,n_cycles,n_mutual,route_hits,forward_prob,flags,rule
100000000331309100,coordinator,0.5,7,0.8619,"Собирает от 5 плательщиков 984 635 ₸ и рассылает 99 получателям 23,00 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных.","Координатор, кандидат в организаторы",1,2,False,5,99,984635.0,23001375.0,8,126,23.3603,0,7,1,0.0046,0.3584,3,32,0,8,,sync_inflow;cycle;recurring_route,hub
100000000437046100,coordinator,0.7,2,0.8604,"Собирает от 9 плательщиков 1,11 млн ₸ и рассылает 42 получателям 7,61 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных.","Координатор, кандидат в организаторы",2,2,False,9,42,1107200.0,7606224.0,20,73,6.8698,0,7,0,0.0022,0.8675,3,469,3,47,,fast_transit;sync_inflow;cycle;mutual_transfers;recurring_route,hub
100000008603629100,coordinator,1.0,6,0.8582,"Собирает от 19 плательщиков 1,82 млн ₸ и рассылает 61 получателю 4,99 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных.","Координатор, кандидат в организаторы",3,2,False,19,61,1817300.0,4986156.0,45,74,2.7437,0,7,0,0.0058,0.9888,4,755,7,72,,fast_transit;sync_inflow;cycle;mutual_transfers;recurring_route,hub
100000008547948100,coordinator,0.55,5,0.8335,"Собирает от 6 плательщиков 212 665 ₸ и рассылает 26 получателям 5,19 млн ₸; сюда ведут пути от 8 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных.","Координатор, кандидат в организаторы",4,2,False,6,26,212665.0,5185600.0,7,31,24.3839,0,8,0,0.0011,0.2163,4,6,2,4,,sync_inflow;cycle;mutual_transfers;recurring_route,hub
100000004400305100,coordinator,0.6,2,0.8288,"Собирает от 7 плательщиков 222 800 ₸ и рассылает 82 получателям 5,83 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных.","Координатор, кандидат в организаторы",5,2,False,7,82,222800.0,5830181.0,9,101,26.1678,0,7,0,0.0026,0.7857,2,543,2,2,,fast_transit;cycle;mutual_transfers;recurring_route,hub
100000008165763100,coordinator,1.0,3,0.8205,"Собирает от 15 плательщиков 1,17 млн ₸ и рассылает 17 получателям 1,27 млн ₸; сюда ведут пути от 9 seed. Признаки координации.","Координатор, кандидат в организаторы",6,1,False,15,17,1165815.0,1267858.0,26,17,1.0875,1,9,0,0.0003,0.6806,4,0,0,8,,fast_transit;sync_inflow;recurring_route,hub
100000008477350100,coordinator,0.8,2,0.8187,"Собирает от 11 плательщиков 610 100 ₸ и рассылает 39 получателям 3,37 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных.","Координатор, кандидат в организаторы",7,2,False,11,39,610100.0,3374866.0,14,44,5.5317,0,7,0,0.0025,0.5699,2,463,1,4,,fast_transit;cycle;mutual_transfers;recurring_route,hub
100000001857829100,coordinator,0.55,6,0.8114,"Собирает от 6 плательщиков 888 535 ₸ и рассылает 16 получателям 2,39 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных.","Координатор, кандидат в организаторы",8,2,False,6,16,888535.0,2390993.0,9,16,2.6909,0,7,0,0.002,0.8155,3,48,2,0,,fast_transit;sync_inflow;cycle;mutual_transfers,hub
100000004156082100,coordinator,0.5,15,0.8079,"Собирает от 5 плательщиков 377 366 ₸ и рассылает 26 получателям 2,32 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных.","Координатор, кандидат в организаторы",9,1,False,5,26,377366.11,2319556.0,7,29,6.1467,1,7,0,0.002,0.959,2,10,1,20,,fast_transit;cycle;mutual_transfers;recurring_route,hub
100000008686313100,coordinator,0.55,2,0.803,"Собирает от 6 плательщиков 1,91 млн ₸ и рассылает 7 получателям 333 800 ₸; сюда ведут пути от 7 seed. Признаки координации.","Координатор, кандидат в организаторы",10,1,False,6,7,1912716.0,333800.0,16,13,0.1745,1,7,0,0.002,1.0,2,405,3,15,,fast_transit;cycle;mutual_transfers;recurring_route,hub
