a,b,c,times,sum_in_kzt,sum_out_kzt
100000005287097100,100000003016635100,100000006518161100,11,418700.0,1472100.0
100000005287097100,100000003016635100,100000004330371100,8,257300.0,520072.0
100000005287097100,100000003016635100,100000000667713100,8,355800.0,434275.0
100000003016635100,100000006518161100,100000005660203100,8,983300.0,368798.0
100000005287097100,100000003016635100,100000004186824100,7,152500.0,1310050.0
100000005287097100,100000003016635100,100000000440392100,7,320000.0,457250.0
100000008314203100,100000008637537100,100000001732159100,6,1894000.0,4353000.0
100000000437046100,100000007055802100,100000004299488100,6,2245000.0,1208000.0
100000005287097100,100000003016635100,100000004790991100,6,442500.0,1188419.0
100000005287097100,100000003016635100,100000001567366100,5,132800.0,4027245.0
100000005287097100,100000003016635100,100000000706545100,5,106900.0,1413900.0
100000005287097100,100000003016635100,100000004948177100,5,544000.0,1252590.0
100000005287097100,100000003016635100,100000004664905100,5,47900.0,797300.0
100000005287097100,100000003016635100,100000004394765100,5,147000.0,769899.0
100000005287097100,100000003016635100,100000004559194100,5,231100.0,753845.0
100000005287097100,100000003016635100,100000007281639100,5,256000.0,741000.0
100000008637537100,100000001732159100,100000008314203100,5,2897100.0,594304.0
100000005287097100,100000003016635100,100000004588479100,5,157200.0,455886.0
100000005287097100,100000003016635100,100000004188160100,5,136400.0,259066.0
100000005287097100,100000003016635100,100000008188026100,5,369000.0,244568.0
100000005287097100,100000003016635100,100000002580377100,5,44000.0,170100.0
100000005287097100,100000003016635100,100000002173161100,4,94300.0,4747000.0
100000004723755100,100000008748914100,100000003684369100,4,255000.0,2411400.0
100000003835149100,100000002224132100,100000000594783100,4,4788000.0,2240000.0
100000004351795100,100000000437046100,100000008686313100,4,532500.0,2027648.0
100000004351795100,100000008512552100,100000003242289100,4,419500.0,566836.0
100000005910114100,100000006866783100,100000008686313100,4,201807.0,350593.0
100000007055802100,100000004299488100,100000004674799100,4,444000.0,330000.0
100000001732159100,100000008314203100,100000008637537100,4,481152.0,289000.0
100000008193577100,100000008736940100,100000008659445100,4,125990.0,272300.0
100000005287097100,100000003016635100,100000004408683100,4,96500.0,251402.0
100000006866783100,100000008686313100,100000002826669100,4,287887.0,169800.0
100000008304139100,100000006866783100,100000008686313100,4,114000.0,159661.0
100000004160650100,100000002731501100,100000003031890100,4,220370.0,120000.0
100000008304139100,100000003684369100,100000001072022100,3,582000.0,5180000.0
100000008748914100,100000003684369100,100000001072022100,3,1973400.0,4440000.0
100000004723755100,100000008748914100,100000000913911100,3,80000.0,1704000.0
100000004723755100,100000008748914100,100000004398811100,3,80000.0,1704000.0
100000005287097100,100000003016635100,100000003042994100,3,125300.0,1140600.0
100000004269433100,100000008418835100,100000008701944100,3,420000.0,990356.0
100000008304139100,100000003684369100,100000003946524100,3,291000.0,796299.0
100000008304139100,100000003684369100,100000006889963100,3,226000.0,782000.0
100000008304139100,100000003684369100,100000007908818100,3,163000.0,705300.0
100000008304139100,100000003684369100,100000002480800100,3,163000.0,690000.0
100000008748914100,100000003684369100,100000003946524100,3,986700.0,682542.0
100000004351795100,100000008512552100,100000003178549100,3,198600.0,630000.0
100000004269433100,100000008418835100,100000000343175100,3,279000.0,598500.0
100000005287097100,100000003016635100,100000004707703100,3,143200.0,561500.0
100000007639767100,100000008603629100,100000008279405100,3,98250.0,515480.0
100000008304139100,100000003684369100,100000005079754100,3,291000.0,490000.0
100000008748914100,100000003684369100,100000005079754100,3,986700.0,420000.0
100000008304139100,100000008603629100,100000001857829100,3,134000.0,417000.0
100000004351795100,100000000437046100,100000003834495100,3,221500.0,402441.0
100000005287097100,100000003016635100,100000001805543100,3,187000.0,354000.0
100000008304139100,100000003684369100,100000006446271100,3,291000.0,350000.0
100000004269433100,100000008418835100,100000008730021100,3,296000.0,342220.0
100000005287097100,100000003016635100,100000002600345100,3,177500.0,331800.0
100000008304139100,100000006866783100,100000007055802100,3,94000.0,320000.0
100000008748914100,100000003684369100,100000006446271100,3,986700.0,300000.0
100000006866783100,100000004299488100,100000007055802100,3,996000.0,284000.0
100000004160650100,100000004007116100,100000004144536100,3,139900.0,283000.0
100000005910114100,100000006866783100,100000007055802100,3,126442.0,280000.0
100000006866783100,100000007055802100,100000004299488100,3,400000.0,228000.0
100000005910114100,100000006866783100,100000000555721100,3,127379.0,200000.0
100000005287097100,100000003016635100,100000002704875100,3,33900.0,183300.0
100000008304139100,100000003684369100,100000008671929100,3,184000.0,175000.0
100000008304139100,100000003684369100,100000003739818100,3,163000.0,171879.0
100000005287097100,100000003016635100,100000007641183100,3,187000.0,168000.0
100000005287097100,100000003016635100,100000005634552100,3,33900.0,155100.0
100000004847758100,100000003684369100,100000008671929100,3,77000.0,150000.0
100000005287097100,100000003016635100,100000006069103100,3,143200.0,145590.0
100000008304139100,100000003684369100,100000001924185100,3,163000.0,108000.0
